01,03,05,12,21,28,12
02,13,16,18,24,30,12
03,07,10,15,19,24,10
17,19,20,24,25,27,12
04,06,14,17,30,32,12
04,16,23,25,27,29,03
03,06,07,29,30,33,02
04,06,13,15,18,19,05
04,08,09,10,29,30,03
02,03,08,13,19,21,03
10,11,13,21,27,31,01
24,26,27,29,31,33,16
07,18,22,30,32,33,06
04,06,20,21,26,33,02
13,16,19,20,23,25,10
08,13,16,17,29,32,16
08,11,16,17,22,33,08
03,06,10,12,22,30,15
04,05,08,19,27,28,08
01,07,11,14,15,16,14
04,05,19,22,28,29,15
01,11,17,18,27,31,14
10,14,18,25,26,27,15
04,13,23,25,27,33,14
09,17,18,26,29,30,08
02,16,17,20,26,32,08
03,14,16,26,27,31,09
04,13,14,17,25,31,04
05,13,15,17,19,21,15
04,10,12,13,30,32,13
05,11,14,24,26,28,13
03,07,10,16,24,29,13
02,14,15,19,23,24,12
01,03,04,06,17,25,11
02,11,20,22,24,31,05
13,14,18,20,27,31,02
13,14,17,19,24,31,08
02,08,12,13,19,29,04
03,05,07,13,14,15,15
16,17,24,28,29,32,12
02,09,19,24,25,33,10
01,04,09,10,20,31,07
01,04,05,14,16,17,01
13,18,21,22,25,26,01
07,08,17,19,21,26,12
08,25,26,31,32,33,09
05,07,10,19,26,31,14
02,03,06,21,22,25,05
02,07,14,16,17,21,05
01,02,14,18,25,31,08
12,16,17,19,24,30,05
02,04,12,19,32,33,16
13,15,18,28,30,33,01
02,06,15,23,26,33,08
03,04,16,17,22,29,13
03,06,13,26,27,29,07
05,07,10,11,23,26,16
01,03,13,16,21,22,08
07,08,11,13,15,26,13
01,12,18,19,21,24,10
01,04,05,09,15,19,13
17,18,23,24,25,26,04
10,12,13,17,24,31,15
01,09,17,24,26,31,05
01,03,05,13,16,18,05
06,09,12,14,20,22,13
04,06,08,10,13,26,05
13,14,21,22,23,27,04
06,08,12,17,28,33,05
03,09,20,24,26,32,10
03,06,12,19,30,31,13
04,09,17,21,25,31,01
02,13,14,17,19,26,14
02,17,18,23,29,30,06
02,07,08,16,25,30,09
01,03,07,18,23,27,12
02,08,15,18,24,30,03
01,17,18,22,25,32,01
03,21,24,27,28,31,08
02,03,08,15,19,21,11
09,16,18,26,30,31,14
02,16,18,23,26,27,10
02,03,07,18,23,27,06
01,12,13,18,26,29,15
11,13,18,20,26,31,09
01,21,23,24,26,30,05
07,09,10,13,19,33,06
04,10,23,24,26,33,10
04,10,13,25,26,30,10
09,15,16,22,27,28,06
